budget,revenue,content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
150000000.0,430238384.0,100,79,"Action,Adventure,Fantasy",Destin Daniel Cretton,2021,9,3,4,132,Shang-Chi and the Legend of the Ten Rings,https://www.themoviedb.org//movie/566525-shang-chi-and-the-legend-of-the-ten-rings
242000000.0,708000000.0,100,76,"Adventure,Action,Thriller",Cary Joji Fukunaga,2021,9,30,3,163,No Time to Die,https://www.themoviedb.org//movie/370172-no-time-to-die
110000000.0,424000000.0,100,68,"Science Fiction,Action,Adventure",Kelly Marcel,2021,10,1,4,97,Venom: Let There Be Carnage,https://www.themoviedb.org//movie/580489-venom-let-there-be-carnage
nan,nan,100,82,"Science Fiction,Drama,Adventure",Miguel Sapochnik,2021,11,4,3,115,Finch,https://www.themoviedb.org//movie/522402-finch
nan,nan,100,57,"Action,Thriller,Science Fiction",Edward Drake,2021,12,16,3,108,Apex,https://www.themoviedb.org//movie/763164-apex
14000000.0,19000000.0,100,73,"Romance,Drama",Castille Landon,2021,9,30,3,99,After We Fell,https://www.themoviedb.org//movie/744275-after-we-fell
165000000.0,352769291.0,100,80,"Science Fiction,Adventure",Denis Villeneuve,2021,10,22,4,155,Dune,https://www.themoviedb.org//movie/438631-dune
nan,nan,100,69,"Action,Crime,Thriller",Shay Hatten,2021,10,29,4,127,Army of Thieves,https://www.themoviedb.org//movie/796499-army-of-thieves
200000000.0,282417282.0,100,71,"Action,Adventure,Science Fiction",Chloé Zhao,2021,11,5,4,157,Eternals,https://www.themoviedb.org//movie/524434-eternals
nan,nan,100,67,Western,Jeymes Samuel,2021,10,22,4,139,The Harder They Fall,https://www.themoviedb.org//movie/618162-the-harder-they-fall
110000000.0,331096766.0,100,78,"Comedy,Action,Adventure,Science Fiction",Matt Lieberman,2021,9,17,4,115,Free Guy,https://www.themoviedb.org//movie/550988-free-guy
250000.0,nan,100,59,"War,History,Drama,Adventure",Izu Ojukwu,2021,11,4,3,120,Amina,https://www.themoviedb.org//movie/885110-amina
nan,22000000.0,100,81,"Animation,Comedy,Family",Norman Bridwell,2021,11,10,2,97,Clifford the Big Red Dog,https://www.themoviedb.org//movie/585245-clifford-the-big-red-dog
nan,nan,93,82,"Animation,Action",Takayuki Hamana,2021,7,2,4,nan,The Seven Deadly Sins: Cursed by Light,https://www.themoviedb.org//movie/843241-the-seven-deadly-sins-cursed-by-light
116000000.0,855013954.0,100,68,"Science Fiction,Action",Todd McFarlane,2018,10,5,4,112,Venom,https://www.themoviedb.org//movie/335983-venom
nan,nan,100,43,Thriller,Doron Paz,2021,12,9,3,109,Plan A,https://www.themoviedb.org//movie/714968-plan-a
nan,nan,100,39,"Horror,Thriller,Comedy",Bartosz M. Kowalski,2021,10,27,2,96,Nobody Sleeps in the Woods Tonight 2,https://www.themoviedb.org//movie/871964-nobody-sleeps-in-the-woods-tonight-2
nan,nan,100,60,Horror,Alexandre Bustillo,2021,6,30,2,85,The Deep House,https://www.themoviedb.org//movie/672582-the-deep-house
200000000.0,nan,100,69,"Action,Comedy,Crime,Thriller",Rawson Marshall Thurber,2021,11,5,4,115,Red Notice,https://www.themoviedb.org//movie/512195-red-notice
nan,105000000.0,100,73,"Animation,Comedy,Family",Benji Samit,2021,10,1,4,93,The Addams Family 2,https://www.themoviedb.org//movie/639721-the-addams-family-2
30000000.0,344931.0,100,65,"Action,Thriller,Crime",Navot Papushado,2021,7,14,2,114,Gunpowder Milkshake,https://www.themoviedb.org//movie/574060-gunpowder-milkshake
20000000.0,127000000.0,100,69,"Horror,Thriller",David Gordon Green,2021,10,15,4,105,Halloween Kills,https://www.themoviedb.org//movie/610253-halloween-kills
nan,nan,100,71,"Crime,Action,Thriller",Jaume Balagueró,2021,3,26,4,118,The Vault,https://www.themoviedb.org//movie/630004-the-vault
200000000.0,49010641.0,100,80,"Animation,Comedy,Family,Fantasy",Enrico Casarosa,2021,6,17,3,95,Luca,https://www.themoviedb.org//movie/508943-luca
nan,nan,86,53,Horror,Andres Beltran,2021,7,29,3,nan,Tarumama,https://www.themoviedb.org//movie/775943-tarumama
nan,nan,100,63,"Action,Thriller",Kirk Caouette,2021,3,5,4,88,American Badger,https://www.themoviedb.org//movie/768449-american-badger
200000000.0,213644366.0,100,77,"Adventure,Fantasy,Comedy,Action",Jaume Collet-Serra,2021,9,24,4,127,Jungle Cruise,https://www.themoviedb.org//movie/451048-jungle-cruise
82000000.0,112000000.0,100,77,"Animation,Comedy,Adventure,Family",Michael McCullers,2021,7,2,4,107,The Boss Baby: Family Business,https://www.themoviedb.org//movie/459151-the-boss-baby-family-business
88000000.0,36964325.0,100,68,"Action,Adventure",Evan Spiliotopoulos,2021,7,23,4,121,Snake Eyes: G.I. Joe Origins,https://www.themoviedb.org//movie/568620-snake-eyes-g.i.-joe-origins
15800000.0,503063688.0,93,84,"Animation,Action,Adventure,Fantasy",Haruo Sotozaki,2021,8,13,4,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,https://www.themoviedb.org//movie/635302-demon-slayer--kimetsu-no-yaiba--the-movie-mugen-train
8400000.0,27658331.0,100,71,"Fantasy,Adventure,Comedy",Dmitriy Dyachenko,2021,1,1,4,120,The Last Warrior: Root of Evil,https://www.themoviedb.org//movie/589754-the-last-warrior-root-of-evil
nan,nan,100,70,"Animation,Action,Adventure,Science Fiction",George Pérez,2020,8,4,1,87,Deathstroke: Knights & Dragons - The Movie,https://www.themoviedb.org//movie/703771-deathstroke-knights-&-dragons---the-movie
5000000.0,nan,100,57,"Science Fiction,Thriller,Mystery",Andrew Baird,2021,9,3,4,98,Zone 414,https://www.themoviedb.org//movie/675319-zone-414
nan,nan,100,nan,"Action,Adventure,Science Fiction",Stan Lee,2021,12,17,4,nan,Spider-Man: No Way Home,https://www.themoviedb.org//movie/634649-spider-man-no-way-home
180000000.0,167381210.0,100,78,"Action,Adventure,Fantasy,Comedy",James Gunn,2021,8,6,4,132,The Suicide Squad,https://www.themoviedb.org//movie/436969-the-suicide-squad
200000000.0,721077945.0,100,74,"Action,Crime,Thriller",Justin Lin,2021,6,25,4,143,F9,https://www.themoviedb.org//movie/385128-f9
